FileName,NoRemoval,SimpleRemoval,FullRemoval,TimeNoRemoval(ms),TimeSimpleRemoval(ms),TimeFullRemoval(ms),JavaLanguageFeatureNotSupported,CpgErrorException
progpedia/00000016/ACCEPTED/00087_00001/SopaLetras.java,100.0000,100.0000,0.0000,8.03,11.20,11.78,true,false
progpedia/00000016/ACCEPTED/00114_00004/words.java,100.0000,100.0000,0.0000,7.87,7.04,9.45,true,false
progpedia/00000016/ACCEPTED/00098_00001/SopaDeLetras.java,100.0000,100.0000,0.0000,10.45,8.24,9.64,true,false
progpedia/00000016/ACCEPTED/00040_00002/Sopa.java,100.0000,100.0000,100.0000,5.65,5.07,6.83,false,false
progpedia/00000016/ACCEPTED/00089_00005/main.java,100.0000,100.0000,0.0000,36.21,37.35,38.81,true,false
progpedia/00000016/ACCEPTED/00087_00002/SopaLetras.java,100.0000,100.0000,0.0000,6.08,6.10,7.38,true,false
progpedia/00000016/ACCEPTED/00065_00001/A.java,100.0000,100.0000,100.0000,5.19,4.99,6.67,false,false
progpedia/00000016/ACCEPTED/00044_00002/SopaLetras.java,100.0000,100.0000,100.0000,6.83,6.88,8.67,false,false
progpedia/00000016/ACCEPTED/00058_00004/teste1.java,100.0000,100.0000,100.0000,5.71,5.90,8.67,false,false
progpedia/00000016/ACCEPTED/00074_00005/letras1.java,100.0000,100.0000,0.0000,6.07,5.68,7.49,true,false
progpedia/00000016/ACCEPTED/00112_00003/Sopadeletras.java,100.0000,100.0000,0.0000,11.29,11.44,13.86,true,false
progpedia/00000016/ACCEPTED/00110_00006/Sopa.java,100.0000,100.0000,100.0000,8.13,6.44,8.96,false,false
progpedia/00000016/ACCEPTED/00072_00007/SopaDeLetras.java,100.0000,93.0200,93.0200,7.54,7.17,9.17,false,false
progpedia/00000016/ACCEPTED/00075_00001/SopadeLetras.java,100.0000,100.0000,100.0000,6.06,5.00,6.53,false,false
progpedia/00000016/ACCEPTED/00086_00003/Sopaletras.java,100.0000,100.0000,100.0000,5.61,5.50,7.83,false,false
progpedia/00000016/ACCEPTED/00074_00004/Sopa.java,100.0000,100.0000,0.0000,6.55,6.41,8.28,true,false
progpedia/00000016/ACCEPTED/00089_00003/main.java,100.0000,100.0000,0.0000,30.13,32.93,33.79,true,false
progpedia/00000016/ACCEPTED/00112_00002/Sopadeletras.java,100.0000,100.0000,0.0000,11.72,9.96,12.39,true,false
progpedia/00000016/ACCEPTED/00073_00001/sopa.java,100.0000,100.0000,100.0000,5.61,4.28,6.05,false,false
progpedia/00000016/ACCEPTED/00085_00001/ProbA.java,100.0000,100.0000,100.0000,6.03,5.36,6.76,false,false
progpedia/00000016/ACCEPTED/00042_00001/DAA.java,100.0000,100.0000,0.0000,7.80,6.29,7.06,true,false
progpedia/00000016/ACCEPTED/00116_00001/sopa.java,100.0000,100.0000,100.0000,5.65,4.21,5.51,false,false
progpedia/00000016/ACCEPTED/00105_00001/SopaLetras.java,100.0000,100.0000,0.0000,5.04,4.66,5.63,true,false
progpedia/00000016/ACCEPTED/00098_00002/SopaDeLetras.java,100.0000,100.0000,0.0000,7.89,9.75,9.46,true,false
progpedia/00000016/ACCEPTED/00120_00002/sopa.java,100.0000,100.0000,0.0000,6.46,5.25,6.51,true,false
progpedia/00000016/ACCEPTED/00092_00001/SopaLetras.java,100.0000,100.0000,100.0000,4.86,4.89,5.96,false,false
progpedia/00000016/ACCEPTED/00068_00002/ProbA.java,100.0000,100.0000,0.0000,5.36,5.00,6.34,true,false
progpedia/00000016/ACCEPTED/00071_00001/ProbA.java,100.0000,100.0000,100.0000,7.96,7.87,10.92,false,false
progpedia/00000016/ACCEPTED/00109_00001/SopaLetras.java,100.0000,100.0000,0.0000,6.07,5.77,7.58,true,false
progpedia/00000016/ACCEPTED/00056_00001/ordenar.java,100.0000,100.0000,100.0000,5.56,5.69,7.06,false,false
progpedia/00000016/ACCEPTED/00090_00001/Sopa_de_letras.java,100.0000,100.0000,0.0000,7.77,5.83,7.04,true,false
progpedia/00000016/ACCEPTED/00092_00002/SopaDeLetras.java,100.0000,100.0000,0.0000,25.61,26.31,30.11,true,false
progpedia/00000016/ACCEPTED/00119_00001/SopaDeLetras.java,100.0000,100.0000,100.0000,6.75,4.54,7.83,false,false
progpedia/00000016/ACCEPTED/00095_00002/sopa.java,100.0000,100.0000,0.0000,6.10,5.37,6.68,true,false
progpedia/00000016/ACCEPTED/00107_00001/A2_SopaLetras.java,100.0000,100.0000,0.0000,5.17,5.93,7.04,true,false
progpedia/00000016/ACCEPTED/00058_00003/sopadeletras.java,100.0000,100.0000,100.0000,5.88,5.66,6.88,false,false
progpedia/00000016/ACCEPTED/00029_00002/Sopa.java,100.0000,100.0000,0.0000,5.48,5.74,6.89,true,false
progpedia/00000016/ACCEPTED/00101_00001/A2.java,100.0000,100.0000,0.0000,5.91,5.84,7.16,true,false
progpedia/00000016/ACCEPTED/00060_00001/sopa.java,100.0000,100.0000,100.0000,6.28,5.96,8.09,false,false
progpedia/00000016/ACCEPTED/00078_00002/mooshak2A.java,100.0000,100.0000,100.0000,4.68,3.69,5.26,false,false
progpedia/00000016/ACCEPTED/00094_00002/sopaletras.java,100.0000,100.0000,100.0000,5.49,5.36,7.23,false,false
progpedia/00000016/ACCEPTED/00044_00005/Main.java,100.0000,100.0000,100.0000,5.32,5.12,6.85,false,false
progpedia/00000016/ACCEPTED/00081_00003/SopaLetras.java,100.0000,100.0000,0.0000,5.23,5.49,6.92,true,false
progpedia/00000016/ACCEPTED/00038_00004/Rareorder.java,100.0000,100.0000,100.0000,5.40,5.36,6.66,false,false
progpedia/00000016/ACCEPTED/00038_00002/Rareorder.java,100.0000,100.0000,0.0000,5.75,5.73,7.13,true,false
