FileName,NoRemoval,SimpleRemoval,FullRemoval,RemovedSimpleTokens,RemovedFullTokens,RemovedManualTokens,TimeNoRemoval(ms),TimeSimpleRemoval(ms),TimeFullRemoval(ms),JavaLanguageFeatureNotSupported,CpgErrorException,RuntimeException
progpedia/00000006/WRONG_ANSWER/00080_00001/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.10,6.02,5.54,false,false,false
progpedia/00000006/WRONG_ANSWER/00087_00013/Sigarras.java,100.0000,100.0000,0.0000,0.0000,76.0000,0.0000,7.13,8.21,8.29,true,false,false
progpedia/00000006/WRONG_ANSWER/00177_00001/cigarra.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,7.21,6.83,7.67,false,false,false
progpedia/00000006/WRONG_ANSWER/00150_00004/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,7.64,8.01,10.13,false,false,false
progpedia/00000006/WRONG_ANSWER/00152_00001/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.74,4.99,6.39,false,false,false
progpedia/00000006/WRONG_ANSWER/00027_00003/CigarrasTontas.java,100.0000,100.0000,0.0000,0.0000,38.0000,0.0000,5.06,4.85,5.83,true,false,false
progpedia/00000006/WRONG_ANSWER/00217_00001/cigarras.java,100.0000,100.0000,91.6700,0.0000,4.0000,0.0000,5.72,6.02,6.45,false,false,false
progpedia/00000006/WRONG_ANSWER/00087_00007/Sigarras.java,100.0000,100.0000,0.0000,0.0000,71.0000,0.0000,6.25,6.59,7.32,true,false,false
progpedia/00000006/WRONG_ANSWER/00087_00011/Sigarras.java,100.0000,100.0000,0.0000,0.0000,69.0000,0.0000,6.81,6.50,7.27,true,false,false
progpedia/00000006/WRONG_ANSWER/00069_00002/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.44,5.73,6.59,false,false,false
progpedia/00000006/WRONG_ANSWER/00217_00002/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.38,5.69,8.23,false,false,false
progpedia/00000006/WRONG_ANSWER/00087_00009/Sigarras.java,100.0000,100.0000,0.0000,0.0000,70.0000,0.0000,6.26,6.72,6.44,true,false,false
progpedia/00000006/WRONG_ANSWER/00057_00003/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,9.73,10.10,13.61,false,false,false
progpedia/00000006/WRONG_ANSWER/00150_00002/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,7.92,8.51,11.33,false,false,false
progpedia/00000006/WRONG_ANSWER/00150_00003/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,7.46,8.08,10.93,false,false,false
progpedia/00000006/WRONG_ANSWER/00009_00004/cigarras.java,100.0000,100.0000,0.0000,0.0000,43.0000,0.0000,5.27,5.60,6.59,true,false,false
progpedia/00000006/WRONG_ANSWER/00087_00008/Sigarras.java,100.0000,100.0000,0.0000,0.0000,72.0000,0.0000,6.68,8.02,8.18,true,false,false
progpedia/00000006/WRONG_ANSWER/00145_00001/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,8.54,8.97,12.49,false,false,false
progpedia/00000006/WRONG_ANSWER/00087_00012/Sigarras.java,100.0000,100.0000,0.0000,0.0000,71.0000,0.0000,8.42,10.49,8.47,true,false,false
progpedia/00000006/WRONG_ANSWER/00080_00002/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,6.06,6.01,7.27,false,false,false
